ITERATION, [OBJ_FUNC]STIFFNESSENERGY_OBJ_FUNC, [OBJ]OBJ_FUNC_DRESP:STIFFNESS_MEASURE, [OBJ]OBJ_FUNC_TERM:STIFFNESS_MEASURE, [CON]MASS_CONSTRAINT_1:LE:MASS_DRESP_1, [VAR]STIFFNESS_MEASURE, [VAR]MASS_DRESP_1, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 1.5321361e-6, 1.5321361e-6, 1.5321361e-6, 9.0221385e-4, 1.5321361e-6, 1.8044277e-3, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 1.5321361e-6, 1.5321361e-6, 1.5321361e-6, 9.0221682e-4, 1.5321361e-6, 9.0221682e-4, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 1.2902274e-6, 1.2902274e-6, 1.2902274e-6, 8.8284537e-4, 1.2902274e-6, 8.8284537e-4, 0.0000000, 1.8749313e-1, 4.6353400e-2, 9.9000001e-1
2, 1.0469047e-6, 1.0469047e-6, 1.0469047e-6, 8.8347890e-4, 1.0469047e-6, 8.8347890e-4, 0.0000000, 2.3242106e-1, 4.4049826e-2, 9.9000001e-1
3, 8.4415780e-7, 8.4415780e-7, 8.4415780e-7, 8.8164472e-4, 8.4415780e-7, 8.8164472e-4, 0.0000000, 2.4017653e-1, 5.0312031e-2, 9.9000001e-1
4, 6.7574030e-7, 6.7574030e-7, 6.7574030e-7, 8.8036014e-4, 6.7574030e-7, 8.8036014e-4, 0.0000000, 2.4923407e-1, 5.4490820e-2, 9.9000001e-1
5, 5.4904439e-7, 5.4904439e-7, 5.4904439e-7, 8.8155648e-4, 5.4904439e-7, 8.8155648e-4, 0.0000000, 2.3075713e-1, 5.5215955e-2, 9.9000001e-1
6, 4.7406462e-7, 4.7406462e-7, 4.7406462e-7, 8.8604749e-4, 4.7406462e-7, 8.8604749e-4, 0.0000000, 1.5816359e-1, 4.7563236e-2, 9.9000001e-1
7, 4.4159594e-7, 4.4159594e-7, 4.4159594e-7, 8.8388525e-4, 4.4159594e-7, 8.8388525e-4, 0.0000000, 7.3525757e-2, 4.4386383e-2, 9.9000001e-1
8, 4.2803535e-7, 4.2803535e-7, 4.2803535e-7, 8.7596179e-4, 4.2803535e-7, 8.7596179e-4, 0.0000000, 3.1681016e-2, 5.0045639e-2, 9.9000001e-1
9, 4.0925426e-7, 4.0925426e-7, 4.0925426e-7, 8.7081810e-4, 4.0925426e-7, 8.7081810e-4, 0.0000000, 4.5891017e-2, 5.1705901e-2, 9.9000001e-1
10, 3.8213224e-7, 3.8213224e-7, 3.8213224e-7, 8.7665179e-4, 3.8213224e-7, 8.7665179e-4, 0.0000000, 7.0975460e-2, 4.6884809e-2, 9.9000001e-1
11, 3.5949012e-7, 3.5949012e-7, 3.5949012e-7, 8.8075048e-4, 3.5949012e-7, 8.8075048e-4, 0.0000000, 6.2984005e-2, 4.1385274e-2, 9.9000001e-1
12, 3.4590900e-7, 3.4590900e-7, 3.4590900e-7, 8.8246580e-4, 3.4590900e-7, 8.8246580e-4, 0.0000000, 3.9262105e-2, 3.5778567e-2, 9.9000001e-1
13, 3.3553943e-7, 3.3553943e-7, 3.3553943e-7, 8.8529958e-4, 3.3553943e-7, 8.8529958e-4, 0.0000000, 3.0904194e-2, 3.1287853e-2, 9.9000001e-1
14, 3.2792857e-7, 3.2792857e-7, 3.2792857e-7, 8.8739104e-4, 3.2792857e-7, 8.8739104e-4, 0.0000000, 2.3208866e-2, 2.6420599e-2, 9.9000001e-1
15, 3.2166437e-7, 3.2166437e-7, 3.2166437e-7, 8.9004677e-4, 3.2166437e-7, 8.9004677e-4, 0.0000000, 1.9474341e-2, 2.2305477e-2, 9.9000001e-1
16, 3.1740981e-7, 3.1740981e-7, 3.1740981e-7, 8.9188199e-4, 3.1740981e-7, 8.9188199e-4, 0.0000000, 1.3403994e-2, 1.8509785e-2, 9.9000001e-1
17, 3.1434826e-7, 3.1434826e-7, 3.1434826e-7, 8.9358469e-4, 3.1434826e-7, 8.9358469e-4, 0.0000000, 9.7393831e-3, 1.5616123e-2, 9.9000001e-1
18, 3.1179866e-7, 3.1179866e-7, 3.1179866e-7, 8.9453021e-4, 3.1179866e-7, 8.9453021e-4, 0.0000000, 8.1770653e-3, 1.3340589e-2, 9.9000001e-1
19, 3.0859391e-7, 3.0859391e-7, 3.0859391e-7, 8.9746888e-4, 3.0859391e-7, 8.9746888e-4, 0.0000000, 1.0384996e-2, 1.1150874e-2, 9.9000001e-1
20, 3.0645504e-7, 3.0645504e-7, 3.0645504e-7, 8.9885714e-4, 3.0645504e-7, 8.9885714e-4, 0.0000000, 6.9794115e-3, 9.3111070e-3, 9.9000001e-1
21, 3.0501712e-7, 3.0501712e-7, 3.0501712e-7, 8.9983316e-4, 3.0501712e-7, 8.9983316e-4, 0.0000000, 4.7141979e-3, 7.6563004e-3, 9.9000001e-1
22, 3.0430297e-7, 3.0430297e-7, 3.0430297e-7, 9.0010028e-4, 3.0430297e-7, 9.0010028e-4, 0.0000000, 2.3468463e-3, 6.6064917e-3, 9.9000001e-1
23, 3.0389663e-7, 3.0389663e-7, 3.0389663e-7, 9.0034545e-4, 3.0389663e-7, 9.0034545e-4, 0.0000000, 1.3371165e-3, 5.8646845e-3, 9.9000001e-1
24, 3.0297119e-7, 3.0297119e-7, 3.0297119e-7, 9.0089388e-4, 3.0297119e-7, 9.0089388e-4, 0.0000000, 3.0545455e-3, 5.3163581e-3, 9.9000001e-1
25, 3.0282743e-7, 3.0282743e-7, 3.0282743e-7, 9.0106722e-4, 3.0282743e-7, 9.0106722e-4, 1.0000000, 4.7471593e-4, 4.9579996e-3, 9.9000001e-1
